word,score
AEROS,31828
AROSE,31828
SOARE,31828
AESIR,30997
ARISE,30997
RAISE,30997
REAIS,30997
SERAI,30997
SERIA,30997
ALOES,30894
ALOSE,30894
STOAE,30821
TOEAS,30821
AEONS,30592
NEOSA,30592
ARLES,30396
EARLS,30396
LAERS,30396
LARES,30396
LASER,30396
LEARS,30396
RALES,30396
REALS,30396
SERAL,30396
ARETS,30323
ASTER,30323
EARST,30323
RATES,30323
REAST,30323
RESAT,30323
SATER,30323
STARE,30323
STEAR,30323
STRAE,30323
TARES,30323
TARSE,30323
TASER,30323
TEARS,30323
TERAS,30323
EARNS,30094
NARES,30094
NEARS,30094
RANES,30094
RANSE,30094
REANS,30094
SANER,30094
SNARE,30094
AISLE,30063
ANISE,29761
ISNAE,29761
SAINE,29761
PASEO,29550
PSOAE,29550
AURES,29543
URASE,29543
UREAS,29543
URSAE,29543
LEAST,29389
LEATS,29389
SALET,29389
SETAL,29389
SLATE,29389
STALE,29389
STEAL,29389
STELA,29389
TAELS,29389
TALES,29389
TEALS,29389
TESLA,29389
ARSED,29351
DARES,29351
DEARS,29351
EARDS,29351
RASED,29351
READS,29351
SARED,29351
ELANS,29160
LANES,29160
LEANS,29160
NEALS,29160
SLANE,29160
ANTES,29087
ETNAS,29087
NATES,29087
NEATS,29087
NETAS,29087
STANE,29087
STEAN,29087
OSIER,29081
APERS,29052
APRES,29052
ASPER,29052
PARES,29052
PARSE,29052
PEARS,29052
PRASE,29052
PRESA,29052
RAPES,29052
REAPS,29052
REPAS,29052
SPAER,29052
SPARE,29052
SPEAR,29052
MARES,29030
MARSE,29030
MASER,29030
RAMES,29030
RAMSE,29030
REAMS,29030
RESAM,29030
SMEAR,29030
AIDES,29018
ASIDE,29018
IDEAS,29018
ARSEY,29016
AYRES,29016
EYRAS,29016
RESAY,29016
SAYER,29016
YEARS,29016
ACERS,28862
ACRES,28862
CARES,28862
CARSE,28862
CASER,28862
ESCAR,28862
RACES,28862
SACRE,28862
SCARE,28862
SCRAE,28862
SERAC,28862
IORAS,28754
ASPIE,28719
PAISE,28719
SEPIA,28719
AMIES,28697
MAISE,28697
MESIA,28697
HARES,28609
HEARS,28609
RHEAS,28609
SALUE,28609
SHARE,28609
SHEAR,28609
SAUTE,28536
USETA,28536
ACIES,28529
SAICE,28529
AGERS,28480
EORLS,28480
GARES,28480
GEARS,28480
LORES,28480
LOSER,28480
ORLES,28480
RAGES,28480
RELOS,28480
RESOL,28480
ROLES,28480
SAGER,28480
SARGE,28480
SEGAR,28480
SOLER,28480
SOREL,28480
ABERS,28465
BARES,28465
BASER,28465
BEARS,28465
BRAES,28465
SABER,28465
